weight,subsid,ret,soc,age,age_grp,region,sex,tenure,fihhyr2,mastat,dfihhyr,dfihhyrchg,saveamount,huresp,hsval,mg1tot,xpmg,usa,usb,ush,usc,usj,usd,usi,use,usk,usg,us,ustot,xpus,billscc,actbillscc1,actbillscc2,actbillscc3,actbillscc4,actbillscc5,actbillscc6,actbillscc7,actbillscc8,actbillscc9,actbillscc10,actbillscc11,actbill_otherspec,condebt,actdebt1,actdebt2,actdebt3,actdebt4,actdebt5,actdebt7,actdebt6,actdebt8,actdebt9,actdebt_otherspec,changecondebt,hscntcr1,hscrchg,newloan,outloan,deposit,depositsave,timedeposit,nvesttot,savingch,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs14,savebcs13,desavebcs1,desavebcs2,desavebcs3,desavebcs4,desavebcs5,desavebcs6,emergency,emerchange,hhincfall,conhhinc,pubsecty,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact8,fisc_impact6,fisc_impact7,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act6,fisc11_act5,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc8,fisc11_conc6,fisc11_conc7,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact6,fisc_likact5,jbstat,xphsdf,xphpdf
1.02347517,24072832,No,C1,33,25 - 34,Greater London,male,Private rented,"£50,000-£74,999",marrried or couple,<=199,down >£100,£25-£49,not applicable,not applicable,not applicable,not applicable,no,yes,yes,no,no,no,no,no,no,no,yes,£200-£499,>=£500,"keeping up, struggle from time to time",no,no,no,no,yes,yes,no,no,no,no,no,,Somewhat concerned,yes,yes,no,no,no,no,no,no,no,,Stayed the same,refused,harder,No,not applicable,Yes,Haven't started saving yet,5 year,£500-£999,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Decreased,Quite likely - my household income could fall sharply,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,in paid employ,no,somewhat
0.979064924,25047181,No,C1,19,18 - 24,Greater London,female,Private rented,refused,never married,£500-£599,down >£100,£200-£249,not applicable,not applicable,not applicable,not applicable,no,no,no,no,no,no,yes,no,no,no,yes,"£10,000-£14,999",<£10,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Increased,don't know,the same,No,not applicable,No,not applicable,not applicable,refused,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",No,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,FT student,no,no
0.993394755,22643959,No,C1,55,55 - 64,Yorkshire & Humberside,male,Owned outright,"£40,000-£49,999",marrried or couple,don't know,no change,don't know,yes,,not applicable,not applicable,no,no,no,yes,no,no,no,no,no,no,yes,don't know,don't know,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,the same,No,not applicable,not applicable,not applicable,not applicable,don't know,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,don't know,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",No,yes,no,no,no,no,no,no,no,yes,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,in paid employ,no,no
0.968944993,22925984,No,C2,52,45 - 54,North,female,Owned outright,"£15,500-£17,499",marrried or couple,<=199,down >£100,none,yes,,not applicable,not applicable,no,yes,no,yes,no,no,no,no,no,no,yes,"£10,000-£14,999",£220-£239,"keeping up, constant struggle",no,no,no,no,no,yes,no,yes,yes,no,no,,Very concerned,yes,yes,yes,no,no,no,no,no,no,,Increased,don't know,harder,No,not applicable,not applicable,not applicable,not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Increased,Quite likely - my household income could fall sharply,Yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,something else,no,heavy
1.04033693,22379670,No,E,48,45 - 54,Scotland,male,Private rented,"£7,500-£9,499",widowed/divorced/separated,<=199,no change,none,not applicable,not applicable,not applicable,not applicable,no,no,yes,no,yes,no,yes,no,no,no,yes,don't know,<£10,"have financial problems, fallen behind with many",no,no,no,no,no,yes,no,no,no,no,no,,Very concerned,yes,yes,no,no,no,no,no,no,no,,Increased,no,not applicable,No,not applicable,No,not applicable,not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,don't know,No,no,no,no,no,no,no,no,no,yes,,,,,,,yes,no,no,no,no,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,unemployed,yes,heavy
0.973969516,25038233,No,C2,48,45 - 54,North,female,Owned mortgage,"£17,500-£24,999",never married,£200-£299,down >£100,<=25,yes,"£75,000-£99,999","<£10,000",don't know,no,no,yes,yes,no,yes,no,no,no,no,yes,<£200,£10-£19,"keeping up, struggle from time to time",no,no,no,no,no,no,yes,no,no,no,no,,Somewhat concerned,yes,no,no,no,no,no,no,no,no,,Increased,yes,harder,Yes,Refused the loan or unable to borrow as much as wanted,not applicable,not applicable,not applicable,<£500,Decrease by £150-£199 a month,,,,,,,,,,,,,,,no,yes,no,no,no,no,No,Increased,Quite likely - my household income could fall sharply,Yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,in paid employ,no,somewhat
0.97706585,22923525,No,C1,64,55 - 64,Yorkshire & Humberside,female,Owned outright,"£9,500-£11,499",widowed/divorced/separated,<=199,no change,none,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,"keeping up, constant struggle",no,no,no,no,no,yes,yes,no,no,no,no,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,"£50,000 - £74,999",don't know,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,retired,no,not applicable
0.97706585,20965670,No,C1,60,55 - 64,Yorkshire & Humberside,female,Owned outright,"£30,000-£39,999",marrried or couple,"£1,400-£1,599",no change,£350-£399,yes,,not applicable,not applicable,no,no,no,yes,no,no,no,no,no,no,yes,£200-£499,£260-£279,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,"£30,000 - £34,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,no,no,no,no,no,no,no,no,yes,,,,,,,no,no,no,no,no,no,no,yes,,,,,,,in paid employ,no,no
0.990380706,21180704,No,E,68,65+,North,female,Owned mortgage,refused,marrried or couple,don't know,no change,none,yes,"£350,000-£399,999",refused,refused,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Decreased,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,don't know,don't know,,,,,,,,,,,,,,,,,,,,,Yes,Increased,Not very likely - my household income is very secure,Yes,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,retired,no,not applicable
1.02379888,23560410,No,E,69,65+,Scotland,male,Owned outright,"£17,500-£24,999",marrried or couple,£200-£299,down >£100,150-£199,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,"£100,000 - £149,999",Increase by £150-£199 a month,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,,,,,,,Yes,Stayed the same,Quite likely - my household income could fall sharply,Yes,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,retired,no,not applicable
